unit:name	unit:other_names
Administration Staff Branch, Training Command	
B' Police Division (Uyo, Akwa Ibom State)	B Divisional Command Ewet Housing Uyo ; B' Operation Division
Central Police Station (Awka, Anambra State)	Awka Central Police Station ; CPS ; Central Police Station Awka
Central Police Station (Nnewi, Anambra State)	CPS Nnwei
Central Police Station (Onitsha, Anambra State)	Central Police Station in Onitsha ; CPS Onitsha
Central Police Station (Otukpo, Benue State)	
Central Police Station (Umuahia, Abia State)	
Logistics Staff Branch, Training Command	
Project Implementation, Monitoring and Evaluation Directorate	PIMED
1 Battalion	1 Battalion Army ; 1st Battalion ; One Battalion
1 Brigade Garrison	
1 Brigade	"One Brigade;""One"" Brigade;I Brigade;Brigade 1;1st Brigade;'One' Brigade;1 Bde;1 Army Brigade"
1 Division Garrison	1 Division Garrison Command
1 Division Internal Security Force	One Division, Internal Security Force ; I Division Internal Security Force
1 Mechanised Division	1 Division;1st Division;One Division;Army One Division;1 Mechanisd Army Division;First Mechanized Infantry Division
1 Nigerian Battalion (AFISMA)	NIBATT 1
103 Battalion	103 BN
106 Nigerian Air Force Camp	106 NAF Camp Abuja ; NAF Camp Abuja
107 Nigerian Air Force Camp	107 NAF Camp Lagos ; NAF Camp Abuja
108 Nigerian Air Force Hospital Abuja	108 NAFH ; NAF Hospital Abuja
111 Special Forces Battalion	111 Battalion;SFB;111 SF Bn;111th Special Forces Battalion
112 Task Force Battalion	112 Battalion
113 Battalion	
115 Task Force Battalion	
117 Task Force Battalion	
119 Task Force Battalion	119 Battalion
12 Brigade	
120 Task Force Battalion	
121 Task Force Battalion	
13 Amphibious Brigade Garrison	13 Brigade Garrison
13 Amphibious Brigade	13 Brigade;3 Amphibious Brigade;13 Infantry Brigade;13 Motorised Brigade
130 Battalion	
133 Special Forces Battalion	133 Special Force Battalion
134 Battalion	
14 Brigade Garrison	
14 Brigade	14th Brigade
143 Infantry Battalion	143 Infantry Battalion for special forces ; 143rd Infantry Battalion ; 143 Rangers Battalion ; 143 Battalion
144 Battalion	Asa Military Base of 14 Brigade
145 Battalion	145 Bn
146 Battalion	146 Mechanised Battalion
149 Battalion	419 battalion
151 Task Force Battalion	151 Battalion
152 Battalion	
154 Task Force Battalion	
155 Task Force Battalion	
156 Task Force Battalion	
157 Task Force Battalion	157 Battalion
159 Task Force Battalion	
16 Brigade	16th brigade
174 Battalion	174 Mechanised Battalion ; 174 Bn
176 Special Forces Guards Battalion	176 Guards Battalion ; 176 Battalion ; 176 Special Forces Battalion
177 Guards Battalion	117 Brigade of Guards ; 177 Battalion ; 177 Guard Battalion ; 177 Motorised Battalion
19 Battalion	19 BN ; 19BN
192 Battalion	192 Motorised Battalion
195 Battalion	
2 Amphibious Brigade Garrison	2 Brigade Garrison
2 Amphibious Brigade	2 Brigade;Second Brigade
2 Battalion	2 BN;2 NO.BATTALION
2 Brigade Medical Centre	
2 Brigade Provost Company	
2 Brigade Supply and Transport Company	
2 Mechanised Division Garrison	2 Division Garrison ; HQ 2 Division Garrison
2 Mechanised Division	2 Division ; 2nd Division ; 2 Brigade ; Second Mechanized Infantry Division
20 Mechanized Battalion	20 Battalion
202 Tank Battalion	202 Battalion
21 Armoured Brigade Garrison	
21 Armoured Brigade	21 Brigade;21-Armoured Brigade;21 Armored Brigade;21 Bde
21 Special Forces Brigade	21 Special Brigade
211 Battalion	211 BN;211 Demo Battalion
212 Tank Battalion	212 Battalion;212 BN
213 Battalion	213 Brigade
22 Armoured Brigade Garrison	Garrison;22 Brigade Garrison
22 Armoured Brigade	22 Armour Brigade;22 Brigade;22 Brigade (Rear)
22 Battalion	22 BN
22 Task Force Brigade Garrison	
22 Task Force Brigade	22 Brigade
222 Battalion	222 Army
223 Armoured Battalion	223 Battalion;223 Armour Battalion;223 Tank Battalion;223 Tk Bn;223 Light Tank;223 Light Tank Battalion;Light Tank Battalion, Zuru
23 Armoured Brigade	23 Brigade;23 Armored Bigade;23 Bde;23rd Armoured Brigade;23rd Army Brigade;23rd Armored Brigade;23 Amoured Brigade;23rd Amour Brigade
231 Tank Battalion	231 Battalion;231 tk Bn;231 Tank Battalion;23 Battalion
232 Tank Battalion	232 TK BN;232 Battalion
233 Battalion	233 Nigeria Army Battalion
234 Special Operations Battalion	234 Battalion;Special Operations Battalion;234 Brigade;Special Operation Battalion;Nigerian Military Special Operation Unit, Mubi Battalion
241 Recce Battalion	241 Battalion;241 Reece BN
242 Recce Battalion	242 Battalion
243 Recce Battalion	243 Battalion;243 Bn
244 Recce Battalion	Battalion 244;244 Recce Bn
245 Recce Battalion	245 Recce Bn ; 245 Battalion
25 Task Force Brigade	25 TF
251 Battalion	
254 Task Force Battalion	
26 Battalion	261 Battalion ; 26 BN ; 26-battalion
26 Task Force Brigade Garrison	Garrison of 26 Task Force Brigade
26 Task Force Brigade	26 Brigade;26 TF
27 Task Force Brigade	
28 Task Force Brigade	
28 Task Force Brigade	28 TF
29 Battalion	29 BN
29 Task Force Brigade	29 TF
3 Armoured Division Garrison	3 Div Garrison;3 Division Garrison
3 Armoured Division	3rd Armoured Division;3 Division;3rd Armored Division;3rd Armoury Division;Third Armoured Division;Three Armoured Division;3rd Army Division;Three Division;3rd Division;3 Div.
3 Battalion	23 Battalion
3 Motorized Brigade Garrison	3 Mechanised Brigade Garrison;3 Brigade Garrison
3 Motorized Brigade	3 Brigade;3 Mechanised Brigade;3 Motorised Brigade;Third Brigade;3rd Mechanised Brigade;3rd Brigade
301 Artillery Regiment	301 artillery brigade;301 artillery;301 Battalion
301 Flying Training School	301 FTS
302 Field Artillery Regiment	302 Artillery Regiment;302 Artillery General Support Regiment;302 Military Regiment
303 Flying Training School	
305 Flying Training School	305 FTS;305 Flight Training Squadron
31 Field Artillery Brigade	31 Artillery Brigade;31 Artillery;31 Brigade
313 Artillery Regiment	313 Artillery Regiment Brigade;313 Artillery Brigade;313 Medium Artillery Regiment
32 Artillery Brigade Garrison	
32 Artillery Brigade	32 Artillery Division;323 Artillery Brigade;32 Field Artillery Brigade;32 Brigade
320 Technical Training Group	
322 Artillery Regiment	322 Artillery Battalion ; 322 Regiment ; 322 Field Artillery Brigade ; 322 BN ; 322 Artillery Brigade
323 Artillery Regiment	323 Artillery Battalion ; 323 Artillery Brigade
325 Ground Training Group	
33 Artillery Brigade	33 Brigade ; 33 Artillery Battalion
330 Nigerian Air Force Station	330 NAF Station
331 Field Artillery Regiment	33 Artillery Regiment;331 Battalion;331 Artillery Regiment;331 Artillery Brigade
333 Artillery Regiment	333 Air Defence Regiment;333 Air Defence Regiment;333 Battalion;333 Regiment
333 Logistics Group	333 Logistic Group
335 Base Services Group	335 BSG
34 Field Artillery Brigade Garrison	34 Brigade Garrison ; 34 Artillery Brigade Garrison
34 Field Artillery Brigade	34 Artillery Brigade ; 34 Artillery Owerri ; 34 Brigade ; 34 AB ; 34 FAB
342 Artillery Regiment	342 BN
343 Artillery Regiment	343 Regiment
345 Aeoromedical Hospital	
35 Artillery Brigade Garrison	
35 Artillery Brigade	
37 Brigade	
4 Mechanized Brigade Garrison	Fourth Brigade Garrison
4 Mechanized Brigade	4 Brigade;4 Mechanised Brigade;4th Brigade
40 Nigerian Battalion (UNAMID)	NIBATT 40
401 Aircraft Maintenance Depot	401 ACMD
403 Electronic Maintenance Depot	403 EMD
405 Central Armament Depot	405 CAD
407 Equipment Supply Depot	407 ESD
41 Division Engineers	41 Division;41 Infantry Brigade;41 Division Engineering
42 Division Engineers	42 Engineering  Brigade
43 Division Engineers	43 Division Engineer;43 Engineers Brigade
435 Base Support Group	435 BSG
