Name	Source: Name	Aliases or alternative spellings (semi-colon separated)	Source: Aliases or alternative spellings	Organization	Source: Organization	Role	Source: Role	Title (official title)	Source: Title	Rank	Source: Rank
Abdu Wada	19444c66-a9eb-4a74-ba67-18d768d39d13			Zuru Police Area Command	19444c66-a9eb-4a74-ba67-18d768d39d13	Commander	19444c66-a9eb-4a74-ba67-18d768d39d13				
Alhaji Mohammed Murtala Abbas	8d331b94-c23b-4d57-b0bb-c48fccb5521c	Alhaji Mohammed Abbas ; M.M. Abass	c45fc35c-2387-488a-83de-2aa9c5733bac;be938d98-4e67-4de0-8d62-93b339f670e1	Zone 9 Police Command	c45fc35c-2387-488a-83de-2aa9c5733bac;8d331b94-c23b-4d57-b0bb-c48fccb5521c;be938d98-4e67-4de0-8d62-93b339f670e1	Commander	c45fc35c-2387-488a-83de-2aa9c5733bac;8d331b94-c23b-4d57-b0bb-c48fccb5521c;be938d98-4e67-4de0-8d62-93b339f670e1			Assistant Inspector General of Police	c45fc35c-2387-488a-83de-2aa9c5733bac;8d331b94-c23b-4d57-b0bb-c48fccb5521c;be938d98-4e67-4de0-8d62-93b339f670e1
Bala Magaji Nasarawa	fe496997-13ea-4265-8736-89834663ca23;edd7e16f-481e-409e-8c58-70bc13afc127	Ballah Nasarawa ; Bala Nasarawa ; Ballah Magaji Na­sarawa ; Balla Nasarawa ; Bala M Nasarawa	d683a540-8984-4c6b-97e5-c4f0a39bee38;ff894845-3ca0-4287-ac9d-ac0619cc98ad;efdfbef6-89c7-4504-a9f5-70621a4f550e;62dd0aba-b120-4097-bd93-844dd4cd728e;296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;bdfdd6c5-9121-434a-bc11-e0d9edbbbb5f;c21e9e20-97ca-47ce-be5b-0a86552c46a5;8b9e3566-0e11-4131-b8a3-c3856c2d701f;31aebb45-ce98-4f8b-b3dd-c05e3b2233be;faf28285-87ef-46dc-b203-a09bbc1e7eee;b2f12e8a-0133-4a91-b17c-fc809957ed85;4e2eb619-a7d5-4ed2-9b5d-b52379479464;b166faeb-7005-422d-8dd1-b8039edc0705;8425d600-04c5-44a9-99d6-e8f51f5a8d1e;e6900697-fe44-4b99-83a2-d01591b56cd0	Zone 9 Police Command	31aebb45-ce98-4f8b-b3dd-c05e3b2233be	Commander	31aebb45-ce98-4f8b-b3dd-c05e3b2233be			Assistant Inspector General of Police	31aebb45-ce98-4f8b-b3dd-c05e3b2233be
Karma Hosea Hassan	b166faeb-7005-422d-8dd1-b8039edc0705;95373916-7e9f-49e5-bef2-732a676bd592	Karma Hassan ; Hassan Karma ; Hosea Karma ; Hosea Karma Hassan	49d1cb34-8a27-46c1-a4ab-cf2c15bc57b4;d468eb4c-6084-4c8a-9d27-cad2e151f09b;507837d6-ba82-4be3-945f-1ad45e23d5ac;c6b1aba2-2242-4106-a3d9-d99a0738f4f5;a8061fae-e4d3-4d89-aa9b-2e82960c6dca;4e2eb619-a7d5-4ed2-9b5d-b52379479464;3f2b15ca-1db3-4310-a497-c9c647f6d5b8;6343db72-2ecd-454a-9f2e-5ef6ddaec6bb;2d4edd40-84c9-4e9e-a163-10e3b58fa80e;45f509b4-72cf-4467-97ef-2cdb8ff100a7;65d654a8-2704-46b9-834a-f5b037dbf52f	Zone 9 Police Command	95373916-7e9f-49e5-bef2-732a676bd592;65d654a8-2704-46b9-834a-f5b037dbf52f	Commander	95373916-7e9f-49e5-bef2-732a676bd592;65d654a8-2704-46b9-834a-f5b037dbf52f			Assistant Inspector General of Police	95373916-7e9f-49e5-bef2-732a676bd592;65d654a8-2704-46b9-834a-f5b037dbf52f
Mohammed Zarewa	0c82d950-469f-4096-ac06-c27bde163a53;548ff4e3-0c50-4125-9ab3-aa37295a43a5;4cba13ed-480d-4eca-b204-46a83bd631f7			Zone 9 Police Command	548ff4e3-0c50-4125-9ab3-aa37295a43a5	Commander	548ff4e3-0c50-4125-9ab3-aa37295a43a5			Assistant Inspector General of Police	548ff4e3-0c50-4125-9ab3-aa37295a43a5
Sunday Aghedo	2a11ce0b-c0b7-4c84-a2e5-663a1ea3b171			Zone 9 Police Command	2a11ce0b-c0b7-4c84-a2e5-663a1ea3b171	Commander	2a11ce0b-c0b7-4c84-a2e5-663a1ea3b171			Assistant Inspector General of Police	2a11ce0b-c0b7-4c84-a2e5-663a1ea3b171
Usman Akila Gwary	8e919380-7581-4f1e-b18d-7e66dfea171b;40431283-4a69-425d-a357-e74f338dc39a;edd7e16f-481e-409e-8c58-70bc13afc127;1204a952-4ea1-450c-92d1-0d8b2f49d151	Usman Gwary;Usman Gwari	8589d441-bde2-44cf-9f7b-d6ca0bb814ff;93f2cbde-9f31-4eac-a694-9f42aeeabbec;1e28bc60-5117-4d81-9996-be2391417b26;b739573e-e7ca-43c9-874c-bbf75a2e3f23;296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0	Zone 9 Police Command	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a	Commander	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a			Assistant Inspector General of Police	edd7e16f-481e-409e-8c58-70bc13afc127;8e919380-7581-4f1e-b18d-7e66dfea171b;edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a
Usman Akila Gwary	8e919380-7581-4f1e-b18d-7e66dfea171b;40431283-4a69-425d-a357-e74f338dc39a;edd7e16f-481e-409e-8c58-70bc13afc127;1204a952-4ea1-450c-92d1-0d8b2f49d151	Usman Gwary;Usman Gwari	8589d441-bde2-44cf-9f7b-d6ca0bb814ff;93f2cbde-9f31-4eac-a694-9f42aeeabbec;1e28bc60-5117-4d81-9996-be2391417b26;b739573e-e7ca-43c9-874c-bbf75a2e3f23;296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0	Zone 9 Police Command	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0	Commander	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0			Assistant Inspector General of Police	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0
Alhaji Lawal Tanko	e39fd784-3ae4-41ba-9aea-fad23f433f6c;c953d656-5ad2-4f70-80ba-3fd6263e7697	Lawal Tanko ; Lawan Tanko ; Tanko Lawan ; Lawa Tanko	47ae924b-50fc-45c6-ad32-0ddc42ed1843;aedecd7e-820e-4888-afe9-35cc103db4e5;702be5eb-b082-48be-89c2-86f0bd037d09;4bf889e9-d881-4295-a498-6e3dfaa40d1b;881f3ace-a776-46d1-b374-2b5307a7e0bc;ece46f2a-4a32-4236-8e26-93b28fd00324;2592294c-1f4a-4d96-94b0-46c162dac8d2;ff894845-3ca0-4287-ac9d-ac0619cc98ad;296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;8e919380-7581-4f1e-b18d-7e66dfea171b;9843fa92-3c0d-45b1-9099-a308053065ab;f7c8d78e-d30a-4280-92fa-563cc96f8eb7;b646cfd3-f51a-447f-b51d-1a1b1ca5056d;2739f0e0-b593-4f5f-852b-d2007f107dd0;91dad077-d767-41e8-9156-fb0b9c65685f;a57786de-70df-4ac2-9512-fcc4b6d3bc34;e6900697-fe44-4b99-83a2-d01591b56cd0;edd7e16f-481e-409e-8c58-70bc13afc127	Zone 8 Police Command	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0	Commander	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0			Assistant Inspector General of Police	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0
Christopher Terhrem Dega	edd7e16f-481e-409e-8c58-70bc13afc127	Christopher Dega ; Chris Dega ; Christopher T. Dega	f9f524ee-9f0c-46ff-b6f6-a7205be26d63;ff894845-3ca0-4287-ac9d-ac0619cc98ad;0f8dd773-468c-4067-b463-c62611a4190d;40431283-4a69-425d-a357-e74f338dc39a	Zone 8 Police Command	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a	Commander	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a			Assistant Inspector General of Police	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a
