title,page,published_on,source_url,archive_url,archive_timestamp,country,key,publication_title,new_pub_id
"GOC urges stakeholders to end perennial communal clashes in A’ibom, Cross River states",,2017-02-13,http://www.championnews.com.ng/goc-urges-stakeholders-to-end-perennial-communal-clashes-in-aibom-cross-river-states/,https://web.archive.org/web/20170214050742/http://www.championnews.com.ng/goc-urges-stakeholders-to-end-perennial-communal-clashes-in-aibom-cross-river-states/,2017-02-14T05:07:42,Nigeria,NigeriaChampion Newspapers,Champion Newspapers,56aeba70-cddd-495a-aa83-424ca50cf6b9
Nigerian Army Updates Officers On Operations Planning,,2013-04-28,http://www.channelstv.com/2013/04/28/nigerian-army-updates-officers-on-operations-planning/,https://web.archive.org/web/20160420203208/http://www.channelstv.com/2013/04/28/nigerian-army-updates-officers-on-operations-planning/,2016-04-20T20:32:08,Nigeria,NigeriaChannels Television,Channels Television,b1f055ba-0099-47cc-9997-3e910e96fde9
"Jonathan Sacks GOCs, Redeploys Others",,2010-09-25,http://allafrica.com/stories/201009270430.html,No archive available,,Nigeria,NigeriaDaily Champion,Daily Champion,6b6ee6fe-96a7-40d5-b67b-948d9d7679d8
680 Nigerian Soldiers Leave for Sudan,,2006-08-12,http://allafrica.com/stories/200508150069.html,No archive available,,Nigeria,NigeriaDaily Champion,Daily Champion,6b6ee6fe-96a7-40d5-b67b-948d9d7679d8
JTF Arrests 50 Bunkerers,,2009-11-08,http://allafrica.com/stories/200911091188.html,No archive available,,Nigeria,NigeriaDaily Champion,Daily Champion,6b6ee6fe-96a7-40d5-b67b-948d9d7679d8
"Boko Haram Kills 45 in Borno, Adamawa",,2015-12-28,http://allafrica.com/stories/201512290139.html,No archive available,,Nigeria,NigeriaDaily Independent,Daily Independent,423a4021-db29-4780-9cee-688d88790af8
"Crush Boko Haram in Three Months, Buhari Orders Military Chiefs",,2015-08-14,http://allafrica.com/stories/201508140550.html,No archive available,,Nigeria,NigeriaDaily Independent,Daily Independent,423a4021-db29-4780-9cee-688d88790af8
Driver Beats Policeman to Death in Benin,,2014-07-01,http://allafrica.com/stories/201407020439.html,https://web.archive.org/web/20160629155047/http://allafrica.com/stories/201407020439.html,2016-06-29T15:50:47,Nigeria,NigeriaDaily Independent,Daily Independent,423a4021-db29-4780-9cee-688d88790af8
Escape of Detainees - GOC 3 Division Sets Up Martial Court to Try Gen Raji,,2011-08-16,http://allafrica.com/stories/201108170773.html,No archive available,,Nigeria,NigeriaDaily Independent,Daily Independent,423a4021-db29-4780-9cee-688d88790af8
Boko Haram: Rogers Nicholas replaces Attahiru as theatre commander,,2017-12-06,http://dailypost.ng/2017/12/06/boko-haram-rogers-nicholas-replaces-attahiru-theatre-commander/,https://web.archive.org/web/20171208132009/http://dailypost.ng/2017/12/06/boko-haram-rogers-nicholas-replaces-attahiru-theatre-commander/,2017-12-08T13:20:09,Nigeria,NigeriaDaily Post,Daily Post,3bf7a446-d6b6-4287-a11c-61b6e741c691
