filename,initial_clean,simple_clean,deep_clean,notes
2text_002fcbe4-503c-400d-8cc0-77a395570ade.md,1,1,1,
2text_017326a6-80d1-44de-ad81-a72f47318254.md,1,1,1,
2text_043dfc11-fa5b-4381-8769-7763eef70a1d.md,1,1,1,
2text_047b7dbf-b4e6-4848-b868-0ad63d226aa4.md,1,1,1,
2text_07c77b18-66b2-42dc-83be-82da10e9ceec.md,1,1,1,
2text_07eb86a9-ddb5-4051-a3c5-b5b0892fabbe.md,1,1,1,
2text_0a33bba3-ef02-46e0-897c-0195d43ab626.md,1,1,1,Table from NG military site
2text_0b4ea4e0-fade-4d35-b449-c36e265795d3.md,1,1,1,
2text_0d12b749-2640-414a-bda6-7b4c9f46ffaa.md,1,1,1,
2text_1269b9a8-4391-4982-9f87-e8946788adfc.md,1,1,1,
2text_131d3cca-4cf7-47ee-a873-1f0eff8d5ed1.md,1,1,1,
2text_152dda04-94ea-496c-a844-17c614fa219c.md,1,1,1,
2text_15917041-68d6-4577-893d-d100a94ac4e9.md,1,1,1,
2text_17a7a0b4-17d8-47bf-9a00-c2c1c99c5685.md,1,1,1,
2text_1baf156c-948b-4c99-aad3-b079246039b8.md,1,1,1,AllAfrica stub
2text_1bc14945-bb31-4975-bcd1-fdbf52baea16.md,1,1,1,
2text_1cd668a8-d49e-4036-a376-d5ebca3c4f80.md,1,1,1,
2text_1f6a8613-bbc2-409b-b584-e26d08b8313d.md,1,1,1,Stub AI document
2text_1f6ae567-b76c-4a32-a03b-c6794028d5a0.md,1,1,1,
2text_20964bcf-51b2-4a03-9ea0-c514d4662918.md,1,1,1,
2text_213e3add-1325-4e48-b537-fa015d0a4e72.md,1,1,1,
2text_2403f9fa-3b7c-4a5c-becc-626fe3e609b9.md,1,1,1,
2text_24ad030d-abe7-462d-9fb1-829df7df5c68.md,1,1,1,
2text_259b700f-fd2c-422c-85e0-e5011a25c06a.md,1,1,1,
2text_25c08012-69c2-4e12-a85a-604f0eee0df3.md,1,1,1,Table from NG military site
2text_2671af60-5258-47fc-a314-a413256ddf72.md,1,1,1,
2text_2de9f5ea-c360-427e-b742-f1ddfa01c0b3.md,1,1,1,
2text_2f65f578-59d2-4b4f-8ae4-920927e7e598.md,1,1,1,
2text_2fc0f588-8af2-4c04-841c-3d44f42b6ffd.md,1,1,1,
2text_30dd1435-d22d-4db7-9f93-fb993069ed47.md,1,1,1,
2text_315f389c-9801-49e7-a562-440fad134991.md,1,1,1,
2text_34cc8b2c-1cb1-44b2-87ae-af6e04fbbe08.md,1,1,1,
2text_356602e4-042e-4ad3-8bb2-f539b8644514.md,1,1,1,
2text_35c79a6c-48a2-47bc-8afd-c122ac3b4353.md,1,1,1,
2text_35ea21a5-cefc-4878-87e8-4cdb0cf2779e.md,1,1,1,
2text_361de417-fe5f-4a76-9637-144f104713db.md,1,1,1,
2text_37ea0e4c-2b65-47e3-8347-6c55d6230165.md,1,1,1,
2text_3946c185-68a6-4248-aa19-c9278cc0ed06.md,1,1,1,
2text_3b321757-557f-4af7-a20d-d30ecee55bd6.md,1,1,1,
2text_3f8dfc80-4dcc-41a1-880e-0828c3f2cdd5.md,1,1,1,
2text_431d003c-096b-4bd1-b02b-e4676519d2d4.md,1,1,1,
2text_47392e3d-3c5f-4610-b2ec-173a0c29cce8.md,1,1,1,
2text_47a1f85c-73b4-47f1-a6b5-1e82f3da010f.md,1,1,1,
2text_493ac34f-6d9a-40ff-9843-5d7de6d3525c.md,1,1,1,Table from NG military site
2text_4a0c555c-07b3-421a-aebe-3dc5f3d7b509.md,1,1,1,
2text_4a932064-c445-4131-b111-ceb09aade8a1.md,1,1,1,
2text_4bf889e9-d881-4295-a498-6e3dfaa40d1b.md,1,1,1,
2text_4da481e7-b4f8-4118-9fd1-517ed10ca755.md,1,1,1,
2text_50fffcf6-562a-49a1-bd85-416805735fbb.md,1,1,1,
2text_546826b0-3d58-4a16-904c-ec001189b28e.md,1,1,1,
2text_550e0f4b-80a6-4c5a-8574-20857d90b8c1.md,1,1,1,
2text_5719e8e1-6caf-4e8d-8365-6e92e50ed7a9.md,1,1,1,
2text_582d5933-38ab-4137-bc30-3fc7a4334fbd.md,1,1,1,
2text_5c5f25a2-6751-40ef-a68f-4c90f4b5d8b7.md,1,1,1,
2text_61dea0fe-8477-40bb-9624-4f908b2fd31d.md,1,1,1,
2text_65c4fd99-6206-4009-80c0-d1a8d1519c3c.md,1,1,1,
2text_68b26bfc-1cb5-4148-aafa-616046a795f6.md,1,1,1,
2text_6a288100-b0d0-4fa6-8d69-089e22d15c75.md,1,1,1,
2text_6a622827-3f0b-47e8-a818-231c52513171.md,1,1,1,
2text_6a860be0-0a84-42d9-993b-cff99ea0e65e.md,1,1,1,
2text_6ab9c4ae-b626-4f4b-9a3e-d90d19518ab8.md,1,1,1,
2text_6d8d6c4d-317e-4f9f-bbf0-35e190c15374.md,1,1,1,
2text_6e34fc31-810c-4002-94ff-b981081110cf.md,1,1,1,
2text_747ea676-8906-4d75-b0ae-740939e7c61d.md,1,1,1,Table from NG military site
2text_749e748d-a349-4c45-b524-f174d70909c8.md,1,1,1,
2text_763e05ec-a66a-46fb-a691-223339e19272.md,1,1,1,
